rule_id,rule_text,rule_type,train_accuracy,val_accuracy,train_f1,val_f1,complexity,support,confidence,source_model,grammar_valid,dnf_valid,variables_used,n_predicates
DT_d3_r7,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352,pass,0.8500,0.7500,0.7391,0.4444,3,1,0.9286,decision_tree,True,True,obstacle_heading; initial_heading_error,3
DT_DNF_d3_pass,(obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed > 2.1176) OR (obstacle_heading > 0.2668 AND initial_heading_error <= -0.9853) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352),pass,0.8500,0.7500,0.7391,0.4444,8,3,0.8929,decision_tree_dnf,True,True,obstacle_heading; initial_heading_error; initial_speed,8
DT_DNF_d3_fail,(obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed <= 2.1176) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352),fail,0.8500,0.7500,0.7391,0.4444,12,4,0.7531,decision_tree_dnf,True,True,obstacle_heading; initial_heading_error; obstacle_radius; initial_speed,12
DT_d4_r1,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475 AND obstacle_heading <= -1.7858,pass,0.8750,0.6250,0.8148,0.3478,4,1,0.6000,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius,4
DT_d4_r2,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475 AND obstacle_heading > -1.7858,fail,0.8750,0.6250,0.8148,0.3478,4,1,0.8333,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius,4
DT_d4_r3,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed <= 0.1854,fail,0.8750,0.6250,0.8148,0.3478,4,1,0.5714,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed,4
DT_d4_r4,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854,fail,0.8750,0.6250,0.8148,0.3478,4,1,0.9385,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed,4
DT_d4_r5,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed <= 2.1176 AND initial_speed <= 0.6596,pass,0.8750,0.6250,0.8148,0.3478,4,1,0.6667,decision_tree,True,True,obstacle_heading; initial_heading_error; initial_speed,4
DT_d4_r6,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed <= 2.1176 AND initial_speed > 0.6596,fail,0.8750,0.6250,0.8148,0.3478,4,1,0.8182,decision_tree,True,True,obstacle_heading; initial_heading_error; initial_speed,4
DT_d4_r9,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading <= 1.0668,pass,0.8750,0.6250,0.8148,0.3478,4,1,0.6000,decision_tree,True,True,obstacle_heading; initial_heading_error,4
DT_d4_r10,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading > 1.0668,fail,0.8750,0.6250,0.8148,0.3478,4,1,0.9444,decision_tree,True,True,obstacle_heading; initial_heading_error,4
DT_d4_r11,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352 AND obstacle_speed <= 0.4286,pass,0.8750,0.6250,0.8148,0.3478,4,1,0.8000,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_speed,4
DT_d4_r12,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352 AND obstacle_speed > 0.4286,pass,0.8750,0.6250,0.8148,0.3478,4,1,1.0000,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_speed,4
DT_DNF_d4_pass,(obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475 AND obstacle_heading <= -1.7858) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed <= 2.1176 AND initial_speed <= 0.6596) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed > 2.1176) OR (obstacle_heading > 0.2668 AND initial_heading_error <= -0.9853) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading <= 1.0668) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352 AND obstacle_speed <= 0.4286) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352 AND obstacle_speed > 0.4286),pass,0.8750,0.6250,0.8148,0.3478,25,7,0.7738,decision_tree_dnf,True,True,obstacle_heading; initial_heading_error; obstacle_radius; initial_speed; obstacle_speed,25
DT_DNF_d4_fail,(obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475 AND obstacle_heading > -1.7858) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed <= 0.1854) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed <= 2.1176 AND initial_speed > 0.6596) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading > 1.0668),fail,0.8750,0.6250,0.8148,0.3478,20,5,0.8212,decision_tree_dnf,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed; initial_speed,20
DT_d5_r4,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error <= 0.4183,fail,0.8812,0.6500,0.8257,0.3636,5,1,0.9655,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed,5
DT_d5_r5,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error > 0.4183,fail,0.8812,0.6500,0.8257,0.3636,5,1,0.7143,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed,5
DT_d5_r6,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_heading <= -1.8501,pass,0.8812,0.6500,0.8257,0.3636,3,1,0.7500,decision_tree,True,True,obstacle_heading; initial_heading_error,3
DT_d5_r7,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_heading > -1.8501 AND obstacle_speed <= 0.9866 AND obstacle_speed <= 0.6397,fail,0.8812,0.6500,0.8257,0.3636,5,1,0.8000,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_speed,5
DT_d5_r8,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_heading > -1.8501 AND obstacle_speed <= 0.9866 AND obstacle_speed > 0.6397,fail,0.8812,0.6500,0.8257,0.3636,5,1,1.0000,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_speed,5
DT_d5_r9,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_heading > -1.8501 AND obstacle_speed > 0.9866,pass,0.8812,0.6500,0.8257,0.3636,4,1,0.7143,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_speed,4
DT_d5_r12,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading > 1.0668 AND initial_distance_to_obstacle <= 2.4835,fail,0.8812,0.6500,0.8257,0.3636,5,1,1.0000,decision_tree,True,True,obstacle_heading; initial_heading_error; initial_distance_to_obstacle,5
DT_d5_r13,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading > 1.0668 AND initial_distance_to_obstacle > 2.4835,fail,0.8812,0.6500,0.8257,0.3636,5,1,0.8000,decision_tree,True,True,obstacle_heading; initial_heading_error; initial_distance_to_obstacle,5
DT_DNF_d5_pass,(obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475 AND obstacle_heading <= -1.7858) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_heading <= -1.8501) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_heading > -1.8501 AND obstacle_speed > 0.9866) OR (obstacle_heading > 0.2668 AND initial_heading_error <= -0.9853) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading <= 1.0668) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352 AND obstacle_speed <= 0.4286) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352 AND obstacle_speed > 0.4286),pass,0.8812,0.6500,0.8257,0.3636,25,7,0.7806,decision_tree_dnf,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed,25
DT_DNF_d5_fail,(obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475 AND obstacle_heading > -1.7858) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed <= 0.1854) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error <= 0.4183) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error > 0.4183) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_heading > -1.8501 AND obstacle_speed <= 0.9866 AND obstacle_speed <= 0.6397) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_heading > -1.8501 AND obstacle_speed <= 0.9866 AND obstacle_speed > 0.6397) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading > 1.0668 AND initial_distance_to_obstacle <= 2.4835) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading > 1.0668 AND initial_distance_to_obstacle > 2.4835),fail,0.8812,0.6500,0.8257,0.3636,38,8,0.8356,decision_tree_dnf,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed; initial_distance_to_obstacle,38
DT_dX_r4,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error <= 0.4183 AND obstacle_radius <= 0.6038 AND obstacle_radius <= 0.5618,fail,0.8812,0.6500,0.8224,0.3636,7,1,1.0000,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed,7
DT_dX_r5,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error <= 0.4183 AND obstacle_radius <= 0.6038 AND obstacle_radius > 0.5618,fail,0.8812,0.6500,0.8224,0.3636,7,1,0.6000,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed,7
DT_dX_r6,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error <= 0.4183 AND obstacle_radius > 0.6038,fail,0.8812,0.6500,0.8224,0.3636,6,1,1.0000,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed,6
DT_dX_r8,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_speed <= 1.09 AND obstacle_heading <= -1.937,pass,0.8812,0.6500,0.8224,0.3636,4,1,0.8000,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_speed,4
DT_dX_r9,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_speed <= 1.09 AND obstacle_heading > -1.937 AND obstacle_speed <= 0.6397,fail,0.8812,0.6500,0.8224,0.3636,5,1,0.8000,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_speed,5
DT_dX_r10,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_speed <= 1.09 AND obstacle_heading > -1.937 AND obstacle_speed > 0.6397,fail,0.8812,0.6500,0.8224,0.3636,5,1,0.8571,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_speed,5
DT_dX_r11,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_speed > 1.09,pass,0.8812,0.6500,0.8224,0.3636,3,1,0.7500,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_speed,3
DT_dX_r16,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352 AND obstacle_heading <= 1.1163,pass,0.8812,0.6500,0.8224,0.3636,4,1,0.8000,decision_tree,True,True,obstacle_heading; initial_heading_error,4
DT_dX_r17,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352 AND obstacle_heading > 1.1163,pass,0.8812,0.6500,0.8224,0.3636,4,1,1.0000,decision_tree,True,True,obstacle_heading; initial_heading_error,4
DT_DNF_dX_pass,(obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475 AND obstacle_heading <= -1.7858) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_speed <= 1.09 AND obstacle_heading <= -1.937) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_speed > 1.09) OR (obstacle_heading > 0.2668 AND initial_heading_error <= -0.9853) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading <= 1.0668) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352 AND obstacle_heading <= 1.1163) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352 AND obstacle_heading > 1.1163),pass,0.8812,0.6500,0.8224,0.3636,25,7,0.7929,decision_tree_dnf,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed,25
DT_DNF_dX_fail,(obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475 AND obstacle_heading > -1.7858) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed <= 0.1854) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error <= 0.4183 AND obstacle_radius <= 0.6038 AND obstacle_radius <= 0.5618) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error <= 0.4183 AND obstacle_radius <= 0.6038 AND obstacle_radius > 0.5618) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error <= 0.4183 AND obstacle_radius > 0.6038) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed > 0.1854 AND initial_heading_error > 0.4183) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_speed <= 1.09 AND obstacle_heading > -1.937 AND obstacle_speed <= 0.6397) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND obstacle_speed <= 1.09 AND obstacle_heading > -1.937 AND obstacle_speed > 0.6397) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading > 1.0668 AND initial_distance_to_obstacle <= 2.4835) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352 AND obstacle_heading > 1.0668 AND initial_distance_to_obstacle > 2.4835),fail,0.8812,0.6500,0.8224,0.3636,53,10,0.8176,decision_tree_dnf,True,True,obstacle_heading; initial_heading_error; obstacle_radius; obstacle_speed; initial_distance_to_obstacle,53
RF_t1_r1,obstacle_heading <= 0.4787 AND obstacle_speed <= 0.9887 AND obstacle_speed <= 0.2314,fail,0.8875,0.7750,0.8085,0.4211,3,1,0.6667,random_forest,True,True,obstacle_heading; obstacle_speed,3
RF_t1_r2,obstacle_heading <= 0.4787 AND obstacle_speed <= 0.9887 AND obstacle_speed > 0.2314 AND initial_distance_to_obstacle <= 2.6699,fail,0.8875,0.7750,0.8085,0.4211,4,1,0.8500,random_forest,True,True,obstacle_heading; obstacle_speed; initial_distance_to_obstacle,4
RF_t1_r3,obstacle_heading <= 0.4787 AND obstacle_speed <= 0.9887 AND obstacle_speed > 0.2314 AND initial_distance_to_obstacle > 2.6699,fail,0.8875,0.7750,0.8085,0.4211,4,1,1.0000,random_forest,True,True,obstacle_heading; obstacle_speed; initial_distance_to_obstacle,4
RF_t1_r4,obstacle_heading <= 0.4787 AND obstacle_speed > 0.9887 AND obstacle_heading <= -1.0646 AND obstacle_heading <= -1.7867,fail,0.8875,0.7750,0.8085,0.4211,4,1,1.0000,random_forest,True,True,obstacle_heading; obstacle_speed,4
RF_t1_r5,obstacle_heading <= 0.4787 AND obstacle_speed > 0.9887 AND obstacle_heading <= -1.0646 AND obstacle_heading > -1.7867,fail,0.8875,0.7750,0.8085,0.4211,4,1,0.7143,random_forest,True,True,obstacle_heading; obstacle_speed,4
RF_t1_r6,obstacle_heading <= 0.4787 AND obstacle_speed > 0.9887 AND obstacle_heading > -1.0646,pass,0.8875,0.7750,0.8085,0.4211,3,1,0.8571,random_forest,True,True,obstacle_heading; obstacle_speed,3
RF_t1_r7,obstacle_heading > 0.4787 AND initial_distance_to_obstacle <= 1.2118,fail,0.8875,0.7750,0.8085,0.4211,2,1,1.0000,random_forest,True,True,obstacle_heading; initial_distance_to_obstacle,2
RF_t1_r8,obstacle_heading > 0.4787 AND initial_distance_to_obstacle > 1.2118 AND initial_heading_error <= 0.9891 AND initial_heading_error <= 0.0388,pass,0.8875,0.7750,0.8085,0.4211,4,1,0.8750,random_forest,True,True,obstacle_heading; initial_distance_to_obstacle; initial_heading_error,4
RF_t1_r9,obstacle_heading > 0.4787 AND initial_distance_to_obstacle > 1.2118 AND initial_heading_error <= 0.9891 AND initial_heading_error > 0.0388,fail,0.8875,0.7750,0.8085,0.4211,4,1,1.0000,random_forest,True,True,obstacle_heading; initial_distance_to_obstacle; initial_heading_error,4
RF_t1_r10,obstacle_heading > 0.4787 AND initial_distance_to_obstacle > 1.2118 AND initial_heading_error > 0.9891,pass,0.8875,0.7750,0.8085,0.4211,3,1,1.0000,random_forest,True,True,obstacle_heading; initial_distance_to_obstacle; initial_heading_error,3
RF_DNF_t1_pass,(obstacle_heading <= 0.4787 AND obstacle_speed > 0.9887 AND obstacle_heading > -1.0646) OR (obstacle_heading > 0.4787 AND initial_distance_to_obstacle > 1.2118 AND initial_heading_error <= 0.9891 AND initial_heading_error <= 0.0388) OR (obstacle_heading > 0.4787 AND initial_distance_to_obstacle > 1.2118 AND initial_heading_error > 0.9891),pass,0.8875,0.7750,0.8085,0.4211,10,3,0.9107,random_forest_dnf,True,True,obstacle_heading; obstacle_speed; initial_distance_to_obstacle; initial_heading_error,10
RF_DNF_t1_fail,(obstacle_heading <= 0.4787 AND obstacle_speed <= 0.9887 AND obstacle_speed <= 0.2314) OR (obstacle_heading <= 0.4787 AND obstacle_speed <= 0.9887 AND obstacle_speed > 0.2314 AND initial_distance_to_obstacle <= 2.6699) OR (obstacle_heading <= 0.4787 AND obstacle_speed <= 0.9887 AND obstacle_speed > 0.2314 AND initial_distance_to_obstacle > 2.6699) OR (obstacle_heading <= 0.4787 AND obstacle_speed > 0.9887 AND obstacle_heading <= -1.0646 AND obstacle_heading <= -1.7867) OR (obstacle_heading <= 0.4787 AND obstacle_speed > 0.9887 AND obstacle_heading <= -1.0646 AND obstacle_heading > -1.7867) OR (obstacle_heading > 0.4787 AND initial_distance_to_obstacle <= 1.2118) OR (obstacle_heading > 0.4787 AND initial_distance_to_obstacle > 1.2118 AND initial_heading_error <= 0.9891 AND initial_heading_error > 0.0388),fail,0.8875,0.7750,0.8085,0.4211,25,7,0.8901,random_forest_dnf,True,True,obstacle_heading; obstacle_speed; initial_distance_to_obstacle; initial_heading_error,25
RF_t94_r1,obstacle_heading <= 0.2444 AND obstacle_speed <= 1.1122 AND initial_heading_error <= 0.1623 AND initial_heading_error <= -2.5155,fail,0.8875,0.7750,0.8085,0.4211,4,1,0.7500,random_forest,True,True,obstacle_heading; obstacle_speed; initial_heading_error,4
RF_t94_r2,obstacle_heading <= 0.2444 AND obstacle_speed <= 1.1122 AND initial_heading_error <= 0.1623 AND initial_heading_error > -2.5155,fail,0.8875,0.7750,0.8085,0.4211,4,1,0.9697,random_forest,True,True,obstacle_heading; obstacle_speed; initial_heading_error,4
RF_t94_r3,obstacle_heading <= 0.2444 AND obstacle_speed <= 1.1122 AND initial_heading_error > 0.1623 AND obstacle_heading <= -2.7375,pass,0.8875,0.7750,0.8085,0.4211,4,1,0.8750,random_forest,True,True,obstacle_heading; obstacle_speed; initial_heading_error,4
RF_t94_r4,obstacle_heading <= 0.2444 AND obstacle_speed <= 1.1122 AND initial_heading_error > 0.1623 AND obstacle_heading > -2.7375,fail,0.8875,0.7750,0.8085,0.4211,4,1,0.9412,random_forest,True,True,obstacle_heading; obstacle_speed; initial_heading_error,4
RF_t94_r5,obstacle_heading <= 0.2444 AND obstacle_speed > 1.1122 AND obstacle_speed <= 1.1513,pass,0.8875,0.7750,0.8085,0.4211,3,1,0.8571,random_forest,True,True,obstacle_heading; obstacle_speed,3
RF_t94_r6,obstacle_heading <= 0.2444 AND obstacle_speed > 1.1122 AND obstacle_speed > 1.1513,fail,0.8875,0.7750,0.8085,0.4211,3,1,0.7778,random_forest,True,True,obstacle_heading; obstacle_speed,3
RF_t94_r7,obstacle_heading > 0.2444 AND initial_heading_error <= -0.9853,pass,0.8875,0.7750,0.8085,0.4211,2,1,1.0000,random_forest,True,True,obstacle_heading; initial_heading_error,2
RF_t94_r8,obstacle_heading > 0.2444 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.2608 AND initial_speed <= 1.1633,fail,0.8875,0.7750,0.8085,0.4211,4,1,0.8750,random_forest,True,True,obstacle_heading; initial_heading_error; initial_speed,4
RF_t94_r9,obstacle_heading > 0.2444 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.2608 AND initial_speed > 1.1633,fail,0.8875,0.7750,0.8085,0.4211,4,1,1.0000,random_forest,True,True,obstacle_heading; initial_heading_error; initial_speed,4
RF_t94_r10,obstacle_heading > 0.2444 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.2608,pass,0.8875,0.7750,0.8085,0.4211,3,1,0.8571,random_forest,True,True,obstacle_heading; initial_heading_error,3
RF_DNF_t94_pass,(obstacle_heading <= 0.2444 AND obstacle_speed <= 1.1122 AND initial_heading_error > 0.1623 AND obstacle_heading <= -2.7375) OR (obstacle_heading <= 0.2444 AND obstacle_speed > 1.1122 AND obstacle_speed <= 1.1513) OR (obstacle_heading > 0.2444 AND initial_heading_error <= -0.9853) OR (obstacle_heading > 0.2444 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.2608),pass,0.8875,0.7750,0.8085,0.4211,12,4,0.8973,random_forest_dnf,True,True,obstacle_heading; obstacle_speed; initial_heading_error,12
RF_DNF_t94_fail,(obstacle_heading <= 0.2444 AND obstacle_speed <= 1.1122 AND initial_heading_error <= 0.1623 AND initial_heading_error <= -2.5155) OR (obstacle_heading <= 0.2444 AND obstacle_speed <= 1.1122 AND initial_heading_error <= 0.1623 AND initial_heading_error > -2.5155) OR (obstacle_heading <= 0.2444 AND obstacle_speed <= 1.1122 AND initial_heading_error > 0.1623 AND obstacle_heading > -2.7375) OR (obstacle_heading <= 0.2444 AND obstacle_speed > 1.1122 AND obstacle_speed > 1.1513) OR (obstacle_heading > 0.2444 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.2608 AND initial_speed <= 1.1633) OR (obstacle_heading > 0.2444 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.2608 AND initial_speed > 1.1633),fail,0.8875,0.7750,0.8085,0.4211,23,6,0.8856,random_forest_dnf,True,True,obstacle_heading; obstacle_speed; initial_heading_error; initial_speed,23
